id;basepallet_no
266;FSI-SC1-266
267;FSI-SC1-267
268;FSI-SC1-268
269;FSI-SC1-269
270;FSI-SC1-270
271;FSI-SC1-271
272;FSI-SC1-272
273;FSI-SC1-273
274;FSI-SC1-274
275;FSI-SC1-275
276;FSI-SC1-276
277;FSI-SC1-277
278;FSI-SC1-278
279;FSI-SC1-279
280;FSI-SC1-280
281;FSI-SC1-281
282;FSI-SC1-282
283;FSI-SC1-283
284;FSI-SC1-284
285;FSI-SC1-285
286;FSI-SC1-286
287;FSI-SC1-287
288;FSI-SC1-288
289;FSI-SC1-289
290;FSI-SC1-290
291;FSI-SC1-291
292;FSI-SC1-292
293;FSI-SC1-293
294;FSI-SC1-294
295;FSI-SC1-295
296;FSI-SC1-296
297;FSI-SC1-297
298;FSI-SC1-298
299;FSI-SC1-299
300;FSI-SC1-300
