id;doc_name;doc_no;revision;active_date;remark;adjust_date;seq_sj;update_by;update_time
1;PART LABEL;QCDF/FRM/5;1;2018-07-16;Label Produksi;;;;
2;SURAT JALAN;PCD/FRM/1;0;2006-05-22;Suart Jalan Delivery Part;;;;
